config_id,family,ell,alpha,eta_out,corr_out,E_roi,core_ratio,barrier_reduction_pct,pass_hard,J
lg_l3_w0.4_f2.5_cos,lg,3,0.05,0.004988621168429169,0.9999766966048282,0.06394430943914652,0.4772904053281475,-0.17241543963728567,True,0.32802863029942286
lg_l3_w0.4_f2.5_cos,lg,3,0.1,0.00997724233685834,0.9999070086066313,0.06394430943914652,0.4772904053281475,-0.34505794030119663,True,0.27813196541540164
lg_l3_w0.4_f2.5_cos,lg,3,0.2,0.01995448467371668,0.9996293010536025,0.06394430943914652,0.4772904053281475,-0.691024124708739,True,0.17831788591386388
lg_l3_w0.4_f2.5_cos,lg,3,0.4,0.03990896934743336,0.9985263885554527,0.06394430943914652,0.4772904053281475,-1.3856812258432827,False,-1.0
lg_l3_w0.6_cos,lg,3,0.05,0.00759597613156781,0.9999498516278947,0.06388073725068587,0.47813495417313434,-0.39246880927912287,True,0.30195627459550595
lg_l3_w0.6_cos,lg,3,0.1,0.015191952263135623,0.9998005695890152,0.06388073725068587,0.47813495417313434,-0.785369517021528,True,0.22597412097399588
lg_l3_w0.6_cos,lg,3,0.2,0.030383904526271245,0.9992082790001425,0.06388073725068587,0.47813495417313434,-1.572466627896163,False,-1.0
lg_l3_w0.6_cos,lg,3,0.4,0.0607678090525425,0.9968874303885297,0.06388073725068587,0.47813495417313434,-3.1518436312049536,False,-1.0
lg_l3_w0.6_f1.5_cos,lg,3,0.05,0.007223377050683818,0.9999499122373104,0.06404300493248088,0.483478954316865,-0.19724573832293757,True,0.30585644141980023
lg_l3_w0.6_f1.5_cos,lg,3,0.1,0.014446754101367634,0.999799686468771,0.06404300493248088,0.483478954316865,-0.395411856384964,True,0.23360013704768118
lg_l3_w0.6_f1.5_cos,lg,3,0.2,0.028893508202735268,0.999198580183302,0.06404300493248088,0.483478954316865,-0.7931421587482168,False,-1.0
lg_l3_w0.6_f1.5_cos,lg,3,0.4,0.057787016405470536,0.9968020831968106,0.06404300493248088,0.483478954316865,-1.5941950284314998,False,-1.0
lg_l3_w0.6_f2.0_cos,lg,3,0.05,0.007399637668890826,0.9999476828386309,0.06400353109584657,0.4822679613237666,-0.1707338443733608,True,0.3040533575439422
lg_l3_w0.6_f2.0_cos,lg,3,0.1,0.01479927533778165,0.9997910583423677,0.06400353109584657,0.4822679613237666,-0.3419222101036956,True,0.23003348718059446
lg_l3_w0.6_f2.0_cos,lg,3,0.2,0.0295985506755633,0.9991658012516506,0.06400353109584657,0.4822679613237666,-0.6856625056352872,False,-1.0
lg_l3_w0.6_f2.0_cos,lg,3,0.4,0.0591971013511266,0.9966828835802347,0.06400353109584657,0.4822679613237666,-1.378597352982025,False,-1.0
