config_id,family,ell,offset_x_mm,apod,beam_waist_mm,focal_length_mm,k_r,eta_out,corr_out,E_roi,core_ratio,core_min_Pa,peak_roi_Pa,w_1.0lam,w_1.5lam,w_2.0lam,winding_std,centroid_x_mm,centroid_y_mm,core_x_mm,core_y_mm,trap_crosstalk_mean_pct,trap_crosstalk_max_pct,barrier_reduction_pct,pass_hard,J
lg_l3_w0.6_f2.0_cos,lg,3,0.0,cosine_taper,0.6,2.0,nan,0.0295985506755633,0.9991658012516506,0.06400353109584657,0.4822679613237666,0.010981536544439459,0.4197867857249028,0.0,-5.0,1.0,2.160246899469287,3.141753791878192,2.9900183237807774,2.9659597989949753,2.4893969849246234,1.8877320166184341,6.442116199650948,-0.6856625056352872,False,-1.0
lg_l3_w0.6_f2.5_cos,lg,3,0.0,cosine_taper,0.6,2.5,nan,0.029942671909665205,0.9991574129095337,0.06397878530963026,0.4814827194204069,0.011319987401927243,0.424146739762367,0.0,-5.0,1.0,2.160246899469286,3.1415513002430355,2.990166512735031,2.9659597989949753,2.4893969849246234,1.932794479974305,6.843247993040579,-0.901630883909954,False,-1.0
lg_l3_w0.8_cos,lg,3,0.0,cosine_taper,0.8,nan,nan,0.03395880644232232,0.999016084546342,0.0638587217114648,0.47837042205304486,0.013725820654253896,0.4797721017855549,0.0,-5.0,1.0,2.160246899469287,3.1412852560713094,2.989102994991629,2.9659597989949753,2.4893969849246234,2.1874752545798852,7.6181696500411755,-1.7340849481892295,False,-1.0
lg_l3_w0.8_f1.5_cos,lg,3,0.0,cosine_taper,0.8,1.5,nan,0.03220721190401721,0.999003555729349,0.06408448376800685,0.48475981501525356,0.01107485740828587,0.46003517779674397,0.0,-5.0,1.0,2.1602468994692874,3.1433151119418214,2.9878712925947024,2.9659597989949753,2.4893969849246234,2.045682840713741,6.368435010565165,-0.933897652452087,False,-1.0
lg_l3_w0.8_f2.0_cos,lg,3,0.0,cosine_taper,0.8,2.0,nan,0.03303230814762418,0.9989572235950489,0.06402956950416307,0.4832239278677083,0.011754682722802208,0.4707636141616021,0.0,-5.0,1.0,2.160246899469287,3.142909524277543,2.9880167443445065,2.9659597989949753,2.4893969849246234,2.1135251514505797,7.083182208925084,-0.6898202875459392,False,-1.0
lg_l3_w0.8_f2.5_cos,lg,3,0.0,cosine_taper,0.8,2.5,nan,0.03343715390516989,0.9989452881792689,0.06399535371548577,0.48225676597858097,0.012173953810908808,0.4758138933111002,-0.0,-5.0,1.0,2.160246899469287,3.1426290311387253,2.9881441669064,2.9659597989949753,2.4893969849246234,2.150138423076181,7.608206322886027,-0.9451081257022764,False,-1.0
lg_l1_w0.6_f2.0_off0.2_cos,lg,1,0.2,cosine_taper,0.6,2.0,nan,0.022086488868140138,0.9995550493545342,0.1495301734934662,0.7903068815049638,0.008136324909137195,0.4709341812424627,-1.0,1.0,2.0,0.47140452079103157,2.918635383211221,2.822654085140007,2.5801708542713575,3.4425226130653273,1.1989201778525407,7.041116868797777,-1.992805148238097,False,-1.0
lg_l1_w0.6_f2.0_uni,lg,1,0.0,uniform,0.6,2.0,nan,0.02742721107880733,0.9992689398144684,0.24566508936522705,1.0,0.037773763950300895,0.7187036880411223,1.0,1.0,1.0,1.9229626863835638e-16,2.960142231977074,3.0086396359890153,2.9659597989949753,2.9659597989949753,1.5485196872379277,4.929709347362459,-4.612319924670039,False,-1.0
bessel_l1_kr4234_uni,bessel,1,0.0,uniform,nan,nan,4233.952363328562,0.046418693901130195,0.9981842390739508,0.24029010167872722,1.0238627891788563,0.050581916985668975,1.1764971454919,1.0,1.0,-1.0,3.1401849173675503e-16,2.9589504464820044,3.0156394827860047,3.1475075376884427,3.32905527638191,2.5706998268926133,11.556018963396754,-3.589342307771215,False,-1.0
bessel_l1_kr8468_uni,bessel,1,0.0,uniform,nan,nan,8467.904726657123,0.04428123311720063,0.9983388120392414,0.17412339673298355,0.9741839273417229,0.021714352252031582,0.9516593711078042,1.0,1.0,0.0,0.47140452079103146,2.957635702841363,3.018481676444863,3.32905527638191,3.32905527638191,2.5960890858483383,9.195615675018718,0.07019543204633827,False,-1.0
bessel_l1_kr12702_uni,bessel,1,0.0,uniform,nan,nan,12701.857089985686,0.017485995095318254,0.9997390459991946,0.1378744929317003,0.9570520741134313,0.0037165208066700685,0.35372529797696584,1.0,1.0,-1.0,0.0,2.947510591670483,3.0130385856560875,2.5801708542713575,3.1475075376884427,1.0731941549685449,3.5334093861972256,-0.4696551446583097,True,0.3834958310324575
bessel_l2_kr4234_uni,bessel,2,0.0,uniform,nan,nan,4233.952363328562,0.1268589707293887,0.9851142740535354,0.13271366051471128,0.6411493460963174,0.08478987119426111,2.3072252913520694,2.0,2.0,-0.0,0.9428090415820632,2.9706083881702234,3.010697158185951,3.056733668341709,1.922060301507538,7.031650121994854,31.932316102924442,-5.747963215482121,False,-1.0
bessel_l2_kr8468_uni,bessel,2,0.0,uniform,nan,nan,8467.904726657123,0.09782101014768944,0.9919093479325628,0.1393565040597086,0.6590015763118456,0.07480666070115082,1.8640292877434923,2.0,1.0,-1.0,0.4714045207910319,2.9592726011835597,2.9990803386469627,3.056733668341709,1.922060301507538,5.0078839290827375,20.385935884062075,-0.06884295800491103,False,-1.0
bessel_l2_kr12702_uni,bessel,2,0.0,uniform,nan,nan,12701.857089985686,0.04149679002213071,0.9986203206861961,0.1443890996564021,0.684656682420143,0.011734103439530862,0.8630338593613288,1.0,0.0,-2.0,0.8164965809277259,2.959122940341121,2.9929026068564664,3.9871658291457295,2.8751859296482416,1.9538219934496481,9.522508132725543,-1.061632461711115,False,-1.0
bessel_l3_kr4234_uni,bessel,3,0.0,uniform,nan,nan,4233.952363328562,0.04041361980567511,0.9986511869924298,0.06466512106253024,0.49072189236936015,0.006917935918358319,0.5926940100322495,0.0,-5.0,1.0,2.160246899469287,3.1489269316296884,2.9776623052557767,2.9659597989949753,2.4893969849246234,2.2738319895230865,7.080531035566289,-1.6819831035344457,False,-1.0
bessel_l3_kr8468_uni,bessel,3,0.0,uniform,nan,nan,8467.904726657123,0.022191981821651986,0.9996061750499624,0.06510821019457735,0.5289556535964665,0.0008248830491086093,0.33346399387870906,-0.0,-4.0,2.0,1.632993161855452,3.15772896203203,2.9907780578553345,2.8751859296482416,3.056733668341709,1.1826742865322037,3.5887620000651728,-1.0852262752248265,False,-1.0
bessel_l3_kr12702_uni,bessel,3,0.0,uniform,nan,nan,12701.857089985686,0.008329016896376697,0.9999437739194191,0.0750741694459228,0.5677365250382048,0.002722112431709734,0.14195006886082415,-1.0,-3.0,2.0,0.816496580927726,3.160357807697819,2.9704708670478155,3.8056180904522616,2.8751859296482416,0.487849712737138,1.3693000650109726,-0.37182333750842567,True,0.32718886547242276
bessel_l1_kr8468_off0.2_uni,bessel,1,0.2,uniform,nan,nan,8467.904726657123,0.04428123311719164,0.9983388120392414,0.17412339673296592,0.9741839273416958,0.021714352251526008,0.9516593711078034,1.0,1.0,-0.0,0.47140452079103146,2.9576357028414786,3.018481676444533,3.32905527638191,3.32905527638191,2.596089085847874,9.195615675009535,0.07019543205080137,False,-1.0
bessel_l1_kr8468_cos,bessel,1,0.0,cosine_taper,nan,nan,8467.904726657123,0.016991560846075438,0.999732587460999,0.17353371960572772,0.8816224150276828,0.0038670551555292,0.36499787999520716,1.0,1.0,-0.0,0.47140452079103157,2.966799505189062,3.0282088417386204,3.056733668341709,3.32905527638191,1.1331485873808744,4.449459066165145,-1.0245867117286034,True,0.32475759181686475
bg_l1_w0.4_kr4234_cos,bg,1,0.0,cosine_taper,0.4,nan,4233.952363328562,0.010203298852948104,0.9999154003135828,0.11300195772186535,0.6957738945492913,0.0035098544739621076,0.17391502495850553,0.0,1.0,-2.0,0.8164965809277259,2.9777887659366478,3.0513451132010037,2.9659597989949753,2.9659597989949753,0.6115049184556094,2.2332709745969814,-0.533537572545284,True,0.3211246711725961
